Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.56125112837913E-17,-0.999999999999998,-0.0249999999999999,0,0,0,12480,29122.6,-3.27915472553286E-12,3.08097279027046E-13,16642.6,2.04193819513566E-12,45760,0,0,0,0,0,0,package://site/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/base_link.STL,,地面-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
building_Link,-0.473747770189478,0.283042790195534,0.101,0,0,0,1661.4,60.7995555555555,-21.1083888888889,3.43967112122077E-15,68.6573333333333,3.51993774370562E-15,118.380888888889,0,0,0,0,0,0,package://site/meshes/building_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://site/meshes/building_Link.STL,,信标-1,Origin_global,基准轴1,building,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lawn_Link,-0.0384204887490791,0.220569526350704,0.000500000000001886,0,0,0,87.5895422431805,42.8153103888356,-1.96630622226641,1.02671686939444E-13,15.6564332031183,-9.99769555103605E-14,58.4717289936967,0,0,0,0,0,0,package://site/meshes/lawn_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/lawn_Link.STL,,草坪-1,Origin_global,基准轴1,lawn,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pole1_Link,0.00524490253336246,0.852741745560935,0.369451441039339,0,0,0,7.39419519501673,0.0813297779862586,2.11325063006296E-18,3.46097662248107E-18,0.0691950917597022,1.03699674893121E-17,0.0675209506018086,0,0,0,0,0,0,package://site/meshes/pole1_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pole1_Link.STL,,信号架-十字-1;相机组件-2/灯罩-小-1;相机组件-16/灯罩-小-1;相机组件-15/灯罩-小-1;相机组件-1/灯罩-小-1,Origin_global,基准轴1,pole1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RS-LiDAR-16-1_Link,-0.716154162323716,0.2472,0.716154162323723,0,0,0,7393.55350963914,1437.34231642691,-2.07409247293512E-14,-615.194768531792,2396.20736896117,9.61658423116496E-14,1437.34231642692,0,0,0,0,0,0,package://site/meshes/RS-LiDAR-16-1_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/RS-LiDAR-16-1_Link.STL,,激光雷达 RS-LiDAR-16-2,Origin_RS-LiDAR-16-13,基准轴1,RS-LiDAR-16-1,continuous,0.00504837374851497,0.852121866219549,0,1.5707963267949,0,-0.000663101981024701,pole1_Link,0,-1,0,,,,,,,,,,,,
camera11_Link,9.38870134235548E-05,-0.00748683225188146,0.011160384617491,0,0,0,0.911654901683401,0.000311480771844364,-6.27451277672471E-08,-8.81930983645903E-08,0.000287273478591961,2.45126654248803E-06,0.000386441122224446,0,0,0,0,0,0,package://site/meshes/camera11_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera11_Link.STL,,相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/摄像头-新-2;相机组件-15/摄像头前背壳-2-1,Origin_camera113,基准轴1,camera11,fixed,0.133368198725666,1.0856705996286,0.400786782529668,1.5707963267949,0,3.14159265358979,pole1_Link,0,0,0,,,,,,,,,,,,
camera12_Link,9.38870134239433E-05,-0.00748683225188157,0.0111603846174912,0,0,0,0.911654901683406,0.000311480771844365,-6.27451277671301E-08,-8.81930983642742E-08,0.000287273478591962,2.45126654248784E-06,0.000386441122224447,0,0,0,0,0,0,package://site/meshes/camera12_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera12_Link.STL,,相机组件-16/摄像头背壳-2-1;相机组件-16/相机插槽座-3;相机组件-16/USB转接头-2;相机组件-16/摄像头前背壳-2-1;相机组件-16/摄像头-新-2,Origin_camera123,基准轴1,camera12,fixed,0.235753651377794,0.73059534337703,0.407758198628931,1.5707963267949,0,1.5707963267949,pole1_Link,0,0,0,,,,,,,,,,,,
camera13_Link,9.38870134235825E-05,-0.00748683225188163,0.011160384617491,0,0,0,0.911654901683401,0.000311480771844364,-6.27451277672487E-08,-8.81930983645899E-08,0.000287273478591961,2.45126654248803E-06,0.000386441122224446,0,0,0,0,0,0,package://site/meshes/camera13_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera13_Link.STL,,相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/摄像头前背壳-2-1;相机组件-15/摄像头-新-2,Origin_camera133,基准轴1,camera13,fixed,0.133368198725666,1.0856705996286,0.400786782529668,1.5707963267949,0,3.14159265358979,pole1_Link,0,0,0,,,,,,,,,,,,
camera14_Link,9.38870134235825E-05,-0.00748683225188146,0.0111603846174911,0,0,0,0.911654901683403,0.000311480771844365,-6.27451277672466E-08,-8.81930983644949E-08,0.000287273478591962,2.4512665424879E-06,0.000386441122224447,0,0,0,0,0,0,package://site/meshes/camera14_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera14_Link.STL,,相机组件-2/摄像头背壳-2-1;相机组件-2/相机插槽座-3;相机组件-2/USB转接头-2;相机组件-2/摄像头前背壳-2-1;相机组件-2/摄像头-新-2,Origin_camera143,基准轴1,camera14,fixed,-0.119721754372823,0.624671411483536,0.399378514419427,1.5707963267949,0,0,pole1_Link,0,0,0,,,,,,,,,,,,
CPU_1_Link,-1.73472347597681E-18,0.023,0,0,0,0,6.05475000000001,0.00895144331250001,1.43263374006466E-36,-7.54192281543497E-19,0.017079440625,-6.17990250986743E-20,0.0102633058125,0,0,0,0,0,0,package://site/meshes/CPU_1_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/CPU_1_Link.STL,,计算平台-2,Origin_CPU_13,基准轴1,CPU_1,fixed,0.0052464930768156,1.05996672932159,0.474696606002247,1.5707963267949,0,0,pole1_Link,0,0,0,,,,,,,,,,,,
