Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.0987E-17,-0.025,1,0,0,0,12480,29123,3.081E-13,3.2792E-12,45760,-2.5907E-13,16643,0,0,0,0,0,0,package://Site/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/base_link.STL,,地面-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
building_Link,-0.47375,0.28304,0.101,0,0,0,1661.4,60.8,-21.108,4.3827E-14,68.657,1.5621E-14,118.38,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,,信标-1,坐标系1,基准轴2,building,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lawn_Link,-0.035001,-0.39569,0.0005,0,0,0,102.57,43.127,-1.9663,1.1408E-13,15.944,-1.0118E-13,59.071,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,,草坪-1;停车位-1,坐标系1,基准轴2,lawn,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pole_Link1,0.00504837374851534,0.85212186621955,0.360273727667057,0,0,0,5.9640133711176,0.0797140218809393,1.79421820889015E-18,-7.23243063744853E-18,0.0675793356543829,1.12397100962368E-17,0.0669612553965033,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,,信号架-十字-1,坐标系1,基准轴2,pole1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link11,0.0242975069439782,0.61112171978444,0.38112068651968,0,0,0,2.96649116181871,0.00227818595094953,8.81930983647999E-08,6.27451277665519E-08,0.0026410510970109,0.000107805199322781,0.00132731703677127,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,,相机组件-15/摄像头-新-2;相机组件-15/摄像头前背壳-2-1;相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/灯罩-1;相机组件-15/信号灯-红-1;相机组件-15/信号灯-绿-1,坐标系1,基准轴2,camera11,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link12,-0.23527,0.83444,0.38086,0,0,0,2.9665,0.0026411,-8.8193E-08,0.00010781,0.0022782,-6.2745E-08,0.0013273,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,,相机组件-16/摄像头-新-2;相机组件-16/摄像头前背壳-2-1;相机组件-16/摄像头背壳-2-1;相机组件-16/相机插槽座-3;相机组件-16/USB转接头-2;相机组件-16/信号灯-红-1;相机组件-16/信号灯-绿-1;相机组件-16/灯罩-1,坐标系1,基准轴2,camera12,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link13,0.254564607631063,0.860273378816475,0.37993006749904,0,0,0,2.96649116181871,0.0026410510970109,-8.81930983649212E-08,-0.000107805199322781,0.00227818595094952,6.27451277674168E-08,0.00132731703677127,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,,相机组件-1/摄像头-新-2;相机组件-1/摄像头前背壳-2-1;相机组件-1/摄像头背壳-2-1;相机组件-1/相机插槽座-3;相机组件-1/USB转接头-2;相机组件-1/信号灯-红-1;相机组件-1/信号灯-绿-1;相机组件-1/灯罩-1,坐标系1,基准轴2,camera13,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link14,-0.0019348,1.0977,0.37971,0,0,0,2.9665,0.0022782,8.8193E-08,-6.2745E-08,0.0026411,-0.00010781,0.0013273,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,,相机组件-2/摄像头-新-2;相机组件-2/摄像头前背壳-2-1;相机组件-2/摄像头背壳-2-1;相机组件-2/相机插槽座-3;相机组件-2/USB转接头-2;相机组件-2/灯罩-1;相机组件-2/信号灯-红-1;相机组件-2/信号灯-绿-1,坐标系1,基准轴2,camera14,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_1,-0.711580514336151,0.136442744552784,0.2472,0,0,0,7393.55350963914,1438.15818992721,615.194227524378,6.72838228099047E-13,1436.52644292663,-5.39897738076063E-13,2396.20736896117,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,,激光雷达 RS-LiDAR-16-2,坐标系1,基准轴2,RS_Lidar_16_1,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
CPU_Link1,0.00524649307681596,1.05996672932159,0.497696606002247,0,0,0,6.05475000000001,0.00895144331250001,7.54192281543497E-19,5.87625890401656E-18,0.0102633058125,6.17990250986738E-20,0.017079440625,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,,计算平台-2,坐标系1,基准轴2,CPU1,fixed,0,0,0,0,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
