Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.33E-17,-1,-0.025,0,0,0,12480,29123,-3.2792E-12,3.081E-13,16643,2.0419E-12,45760,0,0,0,0,0,0,package://Site/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/base_link.STL,,地面-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
building_Link,-0.47375,0.28304,0.101,0,0,0,1661.4,60.8,-21.108,3.4672E-15,68.657,3.43E-15,118.38,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,,信标-1,Origin_global,基准轴2,building,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lawn_Link,-0.035001,-0.39569,0.0005,0,0,0,102.57,43.127,-1.9663,1.0267E-13,15.944,-9.9958E-14,59.071,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,,草坪-1;停车位-1,Origin_global,基准轴2,lawn,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pole_Link1,0.0050484,0.85212,0.36027,0,0,0,5.964,0.079714,1.7921E-18,1.9896E-18,0.067579,1.1201E-17,0.066961,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,,信号架-十字-1,Origin_global,基准轴2,pole1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link11,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2745E-08,-8.8193E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,,相机组件-15/摄像头-新-2;相机组件-15/摄像头前背壳-2-1;相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/灯罩-1;相机组件-15/信号灯-红-1;相机组件-15/信号灯-绿-1,Origin_camera11,,camera11,fixed,-0.019528,0.59561,0.41014,1.5708,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link12,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2747E-08,-8.8198E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,,相机组件-16/摄像头-新-2;相机组件-16/摄像头前背壳-2-1;相机组件-16/摄像头背壳-2-1;相机组件-16/相机插槽座-3;相机组件-16/USB转接头-2;相机组件-16/信号灯-红-1;相机组件-16/信号灯-绿-1;相机组件-16/灯罩-1,Origin_camera12,,camera12,fixed,-0.25078,0.87827,0.40988,1.5708,0,-1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link13,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2759E-08,-8.8191E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,,相机组件-1/摄像头-新-2;相机组件-1/摄像头前背壳-2-1;相机组件-1/摄像头背壳-2-1;相机组件-1/相机插槽座-3;相机组件-1/USB转接头-2;相机组件-1/信号灯-红-1;相机组件-1/信号灯-绿-1;相机组件-1/灯罩-1,Origin_camera13,,camera13,fixed,0.27007,0.81645,0.40895,1.5708,0,1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link14,0.0438252766612948,-0.0290160960099871,-0.0155072764923054,0,0,0,2.9664911618187,0.00227818595094952,6.27451277672504E-08,-8.81930983640949E-08,0.00132731703677126,-0.000107805199322781,0.00264105109701089,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,,相机组件-2/摄像头-新-2;相机组件-2/摄像头前背壳-2-1;相机组件-2/摄像头背壳-2-1;相机组件-2/相机插槽座-3;相机组件-2/USB转接头-2;相机组件-2/灯罩-1;相机组件-2/信号灯-红-1;相机组件-2/信号灯-绿-1,Origin_camera14,,camera14,fixed,0.04189,1.1132,0.40873,1.5708,0,-3.1416,pole_Link1,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_1,-0.716154162323716,0.2472,0.716154162323723,0,0,0,7393.55350963914,1437.34231642691,-2.06378302018876E-14,-615.194768531792,2396.20736896117,9.60627669272943E-14,1437.34231642692,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,,激光雷达 RS-LiDAR-16-2,Origin_RS_Lidar_16_1,Axis_RS_Lidar_16_1,RS_Lidar_16_1,continuous,0.0050484,0.85212,0,1.5708,0,-0.0006631,pole_Link1,0,1,0,,,,,,,,,,,,
CPU_Link1,-1.73472347597681E-18,0.023,0,0,0,0,6.05475000000001,0.00895144331250001,2.43547735810993E-35,-7.54192281543497E-19,0.017079440625,-6.17990250986743E-20,0.0102633058125,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,,计算平台-2,Origin_CPU1,,CPU1,fixed,0.0052465,1.06,0.4747,1.5708,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
