Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.25185853854298E-18,-0.999999999999998,-0.0249999999999999,0,0,0,12480,29122.6,-3.27915472553286E-12,3.08097279027046E-13,16642.6,2.04193819513566E-12,45760,0,0,0,0,0,0,package://site/meshes/base_link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/base_link.STL,,地面-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lawn_Link,-0.0350007706660351,-0.395692503218303,0.000500000000001646,0,0,0,102.56554224318,43.1273116368356,-1.96630622226641,1.0267156770281E-13,15.9439736511183,-9.99578616928813E-14,59.0712681936966,0,0,0,0,0,0,package://site/meshes/lawn_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/lawn_Link.STL,,草坪-1;停车位-1,Origin_global,基准轴2,lawn,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pole_Link1,0.0050483737485151,0.85212186621955,0.360273727667057,0,0,0,5.9640133711176,0.0797140218809393,1.79492219129021E-18,1.98669129103213E-18,0.0675793356543829,1.12010083518627E-17,0.0669612553965033,0,0,0,0,0,0,package://site/meshes/pole_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pole_Link1.STL,,信号架-十字-1,Origin_global,基准轴2,pole1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link11,0.0438252766612949,-0.0290160960099872,-0.0155072764923057,0,0,0,2.96649116181871,0.00227818595094952,6.27451277672319E-08,-8.81930983647347E-08,0.00132731703677127,-0.000107805199322781,0.0026410510970109,0,0,0,0,0,0,package://site/meshes/camera_Link11.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link11.STL,,相机组件-15/摄像头-新-2;相机组件-15/摄像头前背壳-2-1;相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/灯罩-1;相机组件-15/信号灯-红-1;相机组件-15/信号灯-绿-1,Origin_camera112,基准轴2,camera11,fixed,-0.019528,0.59561,0.41014,1.5708,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link12,0.0438252768919472,-0.0290160960099873,-0.0155072758404568,0,0,0,2.96649116181871,0.00227818595095214,6.27467312397518E-08,-8.81984955528259E-08,0.00132731703677126,-0.000107805199321848,0.00264105109700827,0,0,0,0,0,0,package://site/meshes/camera_Link12.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link12.STL,,相机组件-16/摄像头-新-2;相机组件-16/摄像头前背壳-2-1;相机组件-16/摄像头背壳-2-1;相机组件-16/相机插槽座-3;相机组件-16/USB转接头-2;相机组件-16/信号灯-红-1;相机组件-16/信号灯-绿-1;相机组件-16/灯罩-1,Origin_camera122,基准轴2,camera12,fixed,-0.25078,0.87827,0.40988,1.5708,0,-1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link13,0.0438252770936681,-0.0290160953569398,-0.0155072764923058,0,0,0,2.96649116181871,0.00227818595094765,6.27592968154265E-08,-8.81914919425932E-08,0.00132731703677314,-0.000107805199324094,0.0026410510970109,0,0,0,0,0,0,package://site/meshes/camera_Link13.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link13.STL,,相机组件-1/摄像头-新-2;相机组件-1/摄像头前背壳-2-1;相机组件-1/摄像头背壳-2-1;相机组件-1/相机插槽座-3;相机组件-1/USB转接头-2;相机组件-1/信号灯-红-1;相机组件-1/信号灯-绿-1;相机组件-1/灯罩-1,Origin_camera132,基准轴2,camera13,fixed,0.27007,0.81645,0.40895,1.5708,0,1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link14,0.0438252766612948,-0.0290160960099873,-0.0155072764923059,0,0,0,2.9664911618187,0.00227818595094952,6.27451277672575E-08,-8.81930983641007E-08,0.00132731703677126,-0.000107805199322782,0.00264105109701089,0,0,0,0,0,0,package://site/meshes/camera_Link14.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link14.STL,,相机组件-2/摄像头-新-2;相机组件-2/摄像头前背壳-2-1;相机组件-2/摄像头背壳-2-1;相机组件-2/相机插槽座-3;相机组件-2/USB转接头-2;相机组件-2/灯罩-1;相机组件-2/信号灯-红-1;相机组件-2/信号灯-绿-1,Origin_camera142,基准轴2,camera14,fixed,0.04189,1.1132,0.40873,1.5708,0,-3.1416,pole_Link1,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_1,-0.716154162323716,0.2472,0.716154162323723,0,0,0,7393.55350963914,1437.34231642691,-2.06378302018876E-14,-615.194768531792,2396.20736896117,9.60627669272943E-14,1437.34231642692,0,0,0,0,0,0,package://site/meshes/RS_Lidar_16_Link_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/RS_Lidar_16_Link_1.STL,,激光雷达 RS-LiDAR-16-2,Origin_RS_Lidar_16_12,基准轴2,RS_Lidar_16_1,continuous,0.0050484,0.85212,0,1.5708,0,-0.0006631,pole_Link1,0,-1,0,,,,,,,,,,,,
CPU_Link1,-1.73472347597681E-18,0.023,0,0,0,0,6.05475000000001,0.00895144331250001,0,-7.54192281543497E-19,0.017079440625,-6.17990250986743E-20,0.0102633058125,0,0,0,0,0,0,package://site/meshes/CPU_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/CPU_Link1.STL,,计算平台-2,Origin_CPU12,基准轴2,CPU1,fixed,0.0052464930768156,1.05996672932159,0.474696606002247,1.5707963267949,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
pole_Link2,-1.66298552560336,-1.16558934125296,0.272855989302841,0,0,0,2.54130116480907,0.0216956936840439,-1.3059730251257E-10,1.44749478902924E-09,0.0498035616213383,1.5886126298116E-09,0.0317513462387992,0,0,0,0,0,0,package://site/meshes/pole_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pole_Link2.STL,,信号架-2,Origin_global,基准轴2,pole2,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link2,0.0438252766612952,-0.0290160960099872,-0.0155072764923054,0,0,0,2.9664911618187,0.00227818595094951,6.27451277670301E-08,-8.81930983642501E-08,0.00132731703677125,-0.000107805199322781,0.00264105109701088,0,0,0,0,0,0,package://site/meshes/camera_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link2.STL,,相机组件-14/摄像头-新-2;相机组件-14/摄像头前背壳-2-1;相机组件-14/摄像头背壳-2-1;相机组件-14/相机插槽座-3;相机组件-14/USB转接头-2;相机组件-14/信号灯-红-1;相机组件-14/信号灯-绿-1;相机组件-14/灯罩-1,Origin_camerra22,基准轴2,camera2,fixed,-1.5042,-1.1862,0.42881,1.5708,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
Radar_Link2,0.00168514324992186,0.0154191890257049,-2.61569096045022E-05,0,0,0,3.09545763589521,0.00233952324153942,6.43560712854058E-06,5.7678092833293E-06,0.00726270749670218,-1.06274664763526E-06,0.00541858260532214,0,0,0,0,0,0,package://site/meshes/Radar_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/Radar_Link2.STL,,毫米波雷达 ARS-408-21-2,Origin_Radar22,基准轴2,Radar2,fixed,-1.48204368460924,-1.1757576992523,0.505765128564767,0,0,-3.13286600732982,pole_Link2,0,0,0,,,,,,,,,,,,
CPU_Link2,0,0.023,0,0,0,0,6.05474999999999,0.00895144331249998,3.30342849429178E-19,3.63934576919076E-19,0.0170794406249999,-6.17990250986745E-20,0.0102633058125,0,0,0,0,0,0,package://site/meshes/CPU_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/CPU_Link2.STL,,计算平台-3,Origin_CPU22,基准轴2,CPU2,fixed,-1.2534216846062,-1.16708729216942,0.012167278074569,1.5707963267949,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
pole_Link3,1.00398903567553,-0.239879473088964,0.22010421227609,0,0,0,2.00698309045887,0.0216511943934799,-2.64278402115642E-10,-6.4634663107155E-10,0.0214364747662529,1.26366532835634E-09,0.0033842830502478,0,0,0,0,0,0,package://site/meshes/pole_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pole_Link3.STL,,信号架2-3,Origin_global,基准轴2,pole3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link3,-0.017456,0.028544,0.0085699,0,0,0,2.8352,0.0022627,6.2745E-08,-8.8193E-08,0.0013119,-0.00010787,0.0026165,0,0,0,0,0,0,package://site/meshes/camera_Link3.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://site/meshes/camera_Link3.STL,,相机组件-13/信号灯-绿-1;相机组件-13/信号灯-红-1;相机组件-13/灯罩-1;相机组件-13/摄像头背壳-2-1;相机组件-13/摄像头前背壳-2-1;相机组件-13/相机插槽座-3;相机组件-13/USB转接头-2,Origin_camera32,基准轴2,camera3,fixed,0.982240773967455,-0.259157650730365,0.361608111742948,1.5707963267949,0,3.14159265358979,pole_Link3,0,0,0,,,,,,,,,,,,
Radar_Link3,0.00168514324992208,0.0154191890257048,-2.61569096043912E-05,0,0,0,3.09545763589522,0.00233952324153942,6.43560712858864E-06,5.76780928332912E-06,0.00726270749670221,-1.06274664763534E-06,0.00541858260532216,0,0,0,0,0,0,package://site/meshes/Radar_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/Radar_Link3.STL,,毫米波雷达 ARS-408-21-1,Origin_Radar32,基准轴2,Radar3,fixed,1.00189979461188,-0.22928478435155,0.503482602285128,0,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
CPU_Link3,0,0.023,2.77555756156289E-17,0,0,0,6.05474999999999,0.00895144331249998,3.30342849429178E-19,1.53871056521315E-18,0.0170794406249999,5.71244006958292E-20,0.0102633058125,0,0,0,0,0,0,package://site/meshes/CPU_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/CPU_Link3.STL,,计算平台-1,Origin_CPU32,基准轴2,CPU3,fixed,1.21054201286997,-0.238453398504354,0.0151409820672447,1.5707963267949,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
pole_Link4,0.00409695000869179,-0.998789396125567,0.03505660377359,0,0,0,0.690723723880237,0.00125872945270526,0.000102570169977189,7.72778950404813E-20,0.000579632374911888,3.0885204999806E-20,0.0010640617056055,0,0,0,0,0,0,package://site/meshes/pole_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pole_Link4.STL,,360-1/信号架3-1,Origin_global,基准轴2,pole4,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_4,-0.71615416232377,0.242073684561551,0.71615416232367,0,0,0,7393.55350963914,1437.342316427,-1.60760362132525E-14,-615.194768531791,2396.20736896117,9.05251694615355E-14,1437.34231642683,0,0,0,0,0,0,package://site/meshes/RS_Lidar_16_Link_4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/RS_Lidar_16_Link_4.STL,,360-1/激光雷达 RS-LiDAR-16-1,Origin_RS_Lidar_16_42,基准轴2,RS_Lidar_16_4,continuous,0,-1,0,1.5707963267949,0,0.146681097924481,pole_Link4,0,-1,0,,,,,,,,,,,,
camera_Link4,0.000598811409163069,0.0645304612231372,0.00422989196206797,0,0,0,3.64661960796415,0.00139584378822357,-5.00153768291695E-19,1.09775469964157E-18,0.00114909391442583,-4.27775009842908E-19,0.00139584378822357,0,0,0,0,0,0,package://site/meshes/camera_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/camera_Link4.STL,,360-1/相机模块-1/摄像头-新-2;360-1/相机模块-1/摄像头前背壳-2-1;360-1/相机模块-1/摄像头背壳-2-1;360-1/相机模块-1/相机插槽座-3;360-1/相机模块-1/USB转接头-2;360-1/相机模块-2/摄像头背壳-2-1;360-1/相机模块-2/摄像头前背壳-2-1;360-1/相机模块-2/摄像头-新-2;360-1/相机模块-2/相机插槽座-3;360-1/相机模块-2/USB转接头-2;360-1/相机模块-4/摄像头背壳-2-1;360-1/相机模块-4/摄像头前背壳-2-1;360-1/相机模块-4/摄像头-新-2;360-1/相机模块-4/相机插槽座-3;360-1/相机模块-4/USB转接头-2;360-1/相机模块-3/摄像头-新-2;360-1/相机模块-3/摄像头前背壳-2-1;360-1/相机模块-3/摄像头背壳-2-1;360-1/相机模块-3/相机插槽座-3;360-1/相机模块-3/USB转接头-2,Origin_camera42,基准轴2,camera4,continuous,0,-1,0.0698384790519049,1.5707963267949,0,1.71747742471931,pole_Link4,0,-1,0,,,,,,,,,,,,
CPU_Link4,-2.77555756156289E-17,0.023,0,0,0,0,6.05475,0.00895144331249999,1.62719393778644E-33,6.12845147893171E-18,0.017079440625,-6.17990250986737E-20,0.0102633058125,0,0,0,0,0,0,package://site/meshes/CPU_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/CPU_Link4.STL,,计算平台-4,Origin_CPU42,基准轴2,CPU4,fixed,0.212583883794893,-0.990620397689533,0.00369002145397369,1.5707963267949,0,0,pole_Link4,0,0,0,,,,,,,,,,,,
pillar_Link,0.00775673503764302,1.70795913509253,0.188421452183391,0,0,0,640.460641155592,8.47049489803464,-7.45815238967656E-15,1.5585380075511E-15,35.6601185511319,1.52185734049189E-15,30.5768288553375,0,0,0,0,0,0,package://site/meshes/pillar_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/pillar_Link.STL,,高架立柱-1,Origin_global,基准轴2,pillar,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
overhead_Link,-0.434458299133697,1.45286339292765,0.322807860147149,0,0,0,635.067693626879,810.84728424871,-223.780967174228,6.11397027938179,740.765801766099,-49.6134074750207,1538.10463751846,0,0,0,0,0,0,package://site/meshes/overhead_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://site/meshes/overhead_Link.STL,,高架路面-1,Origin_global,基准轴2,overhead,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
building_Link,-0.473747770189478,0.283042790195534,0.101,0,0,0,1661.4,60.7995555555555,-21.1083888888889,3.48975738503677E-15,68.6573333333333,3.40466280927647E-15,118.380888888889,0,0,0,0,0,0,package://site/meshes/building_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://site/meshes/building_Link.STL,,信标-1,Origin_global,基准轴2,building,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bar_Link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://site/meshes/bar_Link.STL,1,1,1,1,0,0,0,0,0,0,package://site/meshes/bar_Link.STL,,高架护栏-1,Origin_global,基准轴2,bar,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
